Site,Strong_El_Nino,Weak_El_Nino,Neutral,Weak_La_Nina,Strong_La_Nina
Holden Village (3200 ft),227,217,264,208,312
Stevens Pass (4050 ft),408,454,448,505,640
Snoq. Pass (3000 ft),333,426,427,433,590
Stampede Pass (3950 ft),363,452,420,436,540
Paradise MRNP (5400 ft),615,650,665,663,911
Longmire MRNP (2750 ft),107,164,160,173,266
